iter	Passed	Remaining
0	2	257
1	5	264
2	8	266
3	11	265
4	13	264
5	16	261
6	19	256
7	21	251
8	24	247
9	27	244
10	29	241
11	32	241
12	35	240
13	39	239
14	41	237
15	44	234
16	47	233
17	50	230
18	53	228
19	56	226
20	59	224
21	62	222
22	65	219
23	68	218
24	72	216
25	74	213
26	78	211
27	81	208
28	84	206
29	87	204
30	90	202
31	94	200
32	97	197
33	100	194
34	102	191
35	105	187
36	108	185
37	111	182
38	114	179
39	117	175
40	119	172
41	123	169
42	125	166
43	128	163
44	131	161
45	134	158
46	137	155
47	140	152
48	143	149
49	146	146
50	149	143
51	151	140
52	154	137
53	158	134
54	161	131
55	163	128
56	166	125
57	170	123
58	173	120
59	176	117
60	179	114
61	182	111
62	185	108
63	188	105
64	191	103
65	194	100
66	197	97
67	200	94
68	202	91
69	205	88
70	208	85
71	211	82
72	214	79
73	217	76
74	220	73
75	223	70
76	226	67
77	229	64
78	232	61
79	234	58
80	237	55
81	240	52
82	243	49
83	246	46
84	248	43
85	251	40
86	254	38
87	257	35
88	260	32
89	263	29
90	267	26
91	270	23
92	273	20
93	277	17
94	280	14
95	283	11
96	286	8
97	288	5
98	291	2
99	294	0
